filename,AOD
train_1.tif,0.015433
train_2.tif,0.187255166
train_3.tif,0.214568436
train_4.tif,0.084528038
train_5.tif,0.085250727
train_6.tif,0.130016177
train_7.tif,0.029564217
train_8.tif,0.129429284
train_9.tif,0.271898299
train_10.tif,0.059157155
train_11.tif,0.111612177
train_12.tif,0.218379148
train_13.tif,0.216965588
train_14.tif,0.019735652
train_15.tif,0.214406207
train_16.tif,0.164146325
train_17.tif,0.055513202
train_18.tif,0.034904809
train_19.tif,0.20046432
train_20.tif,0.033187673
train_21.tif,0.018218839
train_22.tif,0.453619267
train_23.tif,0.332874913
train_24.tif,0.265149347
train_25.tif,0.248144836
train_26.tif,0.055454436
train_27.tif,0.289606347
train_28.tif,0.380835173
train_29.tif,0.923726218
train_30.tif,0.135891985
train_31.tif,0.029428045
train_32.tif,0.059460687
train_33.tif,0.126024429
train_34.tif,0.044069397
train_35.tif,0.024458128
train_36.tif,0.226196605
train_37.tif,0.029876
train_38.tif,0.42638405
train_39.tif,0.338327262
train_40.tif,0.378641225
train_41.tif,0.059409458
train_42.tif,0.261992
train_43.tif,0.095450273
train_44.tif,0.214453721
train_45.tif,0.063871567
train_46.tif,0.063230544
train_47.tif,0.13137864
train_48.tif,0.129599594
train_49.tif,0.071977818
train_50.tif,0.022148588
train_51.tif,0.171141757
train_52.tif,0.556853108
train_53.tif,0.277095495
train_54.tif,0.050871974
train_55.tif,0.148196219
train_56.tif,0.262242561
train_57.tif,0.208470418
train_58.tif,0.286449478
train_59.tif,0.043476065
train_60.tif,0.047182727
train_61.tif,0.398654
train_62.tif,0.058068372
train_63.tif,1.13897641
train_64.tif,0.236458894
train_65.tif,0.09716822
train_66.tif,0.095733071
train_67.tif,0.192458812
train_68.tif,0.203589925
train_69.tif,0.13409679
train_70.tif,0.1869145
train_71.tif,0.116673022
train_72.tif,0.051075406
train_73.tif,0.12434933
train_74.tif,0.172605902
train_75.tif,0.310414698
train_76.tif,0.074510431
train_77.tif,0.235276294
train_78.tif,0.047758943
train_79.tif,0.412480968
train_80.tif,0.602141771
train_81.tif,0.024748068
train_82.tif,0.39525313
train_83.tif,0.103945313
train_84.tif,0.039348235
train_85.tif,0.105376942
train_86.tif,0.061070416
train_87.tif,0.286464027
train_88.tif,0.211814148
train_89.tif,0.117323287
train_90.tif,0.026108471
train_91.tif,0.212853116
train_92.tif,0.054925892
train_93.tif,0.196768398
train_94.tif,0.10486235
train_95.tif,0.479437981
train_96.tif,0.094740493
train_97.tif,0.064215634
train_98.tif,0.117123257
train_99.tif,0.187983769
train_100.tif,0.063540084
train_101.tif,0.046058257
train_102.tif,0.05075527
train_103.tif,0.125704194
train_104.tif,0.496998003
train_105.tif,0.177854052
train_106.tif,0.036687663
train_107.tif,0.301436115
train_108.tif,0.34979511
train_109.tif,0.472635675
train_110.tif,0.288587293
train_111.tif,0.096998457
train_112.tif,0.074825583
train_113.tif,0.072835263
train_114.tif,0.286424133
train_115.tif,0.407654047
train_116.tif,0.126977644
train_117.tif,0.13493252
train_118.tif,0.734738008
